"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","TAXINCOME","TOT","PC_GDP","A","1994",8.189,
"AUT","TAXINCOME","TOT","PC_GDP","A","1995",8.566,
"AUT","TAXINCOME","TOT","PC_GDP","A","1996",9.023,
"AUT","TAXINCOME","TOT","PC_GDP","A","1997",9.53,
"AUT","TAXINCOME","TOT","PC_GDP","A","1998",9.633,
"AUT","TAXINCOME","TOT","PC_GDP","A","1999",9.723,
"AUT","TAXINCOME","TOT","PC_GDP","A","2000",9.311,
"AUT","TAXINCOME","TOT","PC_GDP","A","2001",9.916,
"AUT","TAXINCOME","TOT","PC_GDP","A","2002",9.646,
"AUT","TAXINCOME","TOT","PC_GDP","A","2003",9.644,
"AUT","TAXINCOME","TOT","PC_GDP","A","2004",9.4,
"AUT","TAXINCOME","TOT","PC_GDP","A","2005",8.959,
"AUT","TAXINCOME","TOT","PC_GDP","A","2006",8.963,
"AUT","TAXINCOME","TOT","PC_GDP","A","2007",9.064,
"AUT","TAXINCOME","TOT","PC_GDP","A","2008",9.534,
"AUT","TAXINCOME","TOT","PC_GDP","A","2009",9.079,
"AUT","TAXINCOME","TOT","PC_GDP","A","2010",9.158,
"AUT","TAXINCOME","TOT","PC_GDP","A","2011",9.205,
"AUT","TAXINCOME","TOT","PC_GDP","A","2012",9.505,
"AUT","TAXINCOME","TOT","PC_GDP","A","2013",9.717,
"AUT","TAXINCOME","TOT","PC_GDP","A","2014",10.034,
"AUT","TAXINCOME","TOT","PC_GDP","A","2015",10.411,
"AUT","TAXINCOME","TOT","PC_GDP","A","2016",9.018,
"AUT","TAXINCOME","TOT","PC_GDP","A","2017",9.076,
"AUT","TAXINCOME","TOT","PC_GDP","A","2018",9.392,
"AUT","TAXINCOME","TOT","PC_GDP","A","2019",9.618,
"AUT","TAXINCOME","TOT","PC_GDP","A","2020",9.258,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1965",19.974,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1966",20.734,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1967",21.098,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1968",19.466,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1969",19.898,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1970",20.658,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1971",21.051,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1972",22.211,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1973",22.662,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1974",23.579,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1975",21.64,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1976",21.687,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1977",22.059,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1978",23.534,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1979",23.035,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1980",23.181,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1981",23.666,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1982",23.52,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1983",22.831,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1984",22.482,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1985",22.925,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1986",23.376,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1987",22.697,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1988",22.401,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1989",19.756,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1990",20.959,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1991",21.724,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1992",21.5,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1993",21.615,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1994",19.637,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1995",20.754,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1996",21.161,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1997",21.939,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1998",22.171,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","1999",22.565,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2000",22.021,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2001",22.594,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2002",22.591,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2003",22.741,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2004",22.403,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2005",21.846,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2006",22.182,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2007",22.355,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2008",23.035,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2009",22.155,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2010",22.359,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2011",22.385,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2012",22.758,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2013",22.791,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2014",23.5,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2015",24.141,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2016",21.599,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2017",21.676,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2018",22.23,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2019",22.598,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2020",21.975,
"BEL","TAXINCOME","TOT","PC_GDP","A","1965",6.316,
"BEL","TAXINCOME","TOT","PC_GDP","A","1966",7.06,
"BEL","TAXINCOME","TOT","PC_GDP","A","1967",7.545,
"BEL","TAXINCOME","TOT","PC_GDP","A","1968",8.073,
"BEL","TAXINCOME","TOT","PC_GDP","A","1969",8.274,
"BEL","TAXINCOME","TOT","PC_GDP","A","1970",8.379,
"BEL","TAXINCOME","TOT","PC_GDP","A","1971",8.877,
"BEL","TAXINCOME","TOT","PC_GDP","A","1972",9.474,
"BEL","TAXINCOME","TOT","PC_GDP","A","1973",10.074,
"BEL","TAXINCOME","TOT","PC_GDP","A","1974",10.949,
"BEL","TAXINCOME","TOT","PC_GDP","A","1975",12.698,
"BEL","TAXINCOME","TOT","PC_GDP","A","1976",12.609,
"BEL","TAXINCOME","TOT","PC_GDP","A","1977",14.063,
"BEL","TAXINCOME","TOT","PC_GDP","A","1978",15.038,
"BEL","TAXINCOME","TOT","PC_GDP","A","1979",15.433,
"BEL","TAXINCOME","TOT","PC_GDP","A","1980",14.821,
"BEL","TAXINCOME","TOT","PC_GDP","A","1981",14.971,
"BEL","TAXINCOME","TOT","PC_GDP","A","1982",15.474,
"BEL","TAXINCOME","TOT","PC_GDP","A","1983",15.514,
"BEL","TAXINCOME","TOT","PC_GDP","A","1984",15.938,
"BEL","TAXINCOME","TOT","PC_GDP","A","1985",15.577,
"BEL","TAXINCOME","TOT","PC_GDP","A","1986",15.061,
"BEL","TAXINCOME","TOT","PC_GDP","A","1987",14.865,
"BEL","TAXINCOME","TOT","PC_GDP","A","1988",14.19,
"BEL","TAXINCOME","TOT","PC_GDP","A","1989",12.73,
"BEL","TAXINCOME","TOT","PC_GDP","A","1990",13.25,
"BEL","TAXINCOME","TOT","PC_GDP","A","1991",13.031,
"BEL","TAXINCOME","TOT","PC_GDP","A","1992",12.938,
"BEL","TAXINCOME","TOT","PC_GDP","A","1993",13.524,
"BEL","TAXINCOME","TOT","PC_GDP","A","1994",13.592,
"BEL","TAXINCOME","TOT","PC_GDP","A","1995",13.997,
"BEL","TAXINCOME","TOT","PC_GDP","A","1996",13.694,
"BEL","TAXINCOME","TOT","PC_GDP","A","1997",13.927,
"BEL","TAXINCOME","TOT","PC_GDP","A","1998",13.945,
"BEL","TAXINCOME","TOT","PC_GDP","A","1999",13.585,
"BEL","TAXINCOME","TOT","PC_GDP","A","2000",13.76,
"BEL","TAXINCOME","TOT","PC_GDP","A","2001",14.01,
"BEL","TAXINCOME","TOT","PC_GDP","A","2002",13.997,
"BEL","TAXINCOME","TOT","PC_GDP","A","2003",13.653,
"BEL","TAXINCOME","TOT","PC_GDP","A","2004",13.461,
"BEL","TAXINCOME","TOT","PC_GDP","A","2005",12.589,
"BEL","TAXINCOME","TOT","PC_GDP","A","2006",12.094,
"BEL","TAXINCOME","TOT","PC_GDP","A","2007",11.922,
"BEL","TAXINCOME","TOT","PC_GDP","A","2008",12.391,
"BEL","TAXINCOME","TOT","PC_GDP","A","2009",12.121,
"BEL","TAXINCOME","TOT","PC_GDP","A","2010",12.104,
"BEL","TAXINCOME","TOT","PC_GDP","A","2011",12.254,
"BEL","TAXINCOME","TOT","PC_GDP","A","2012",12.339,
"BEL","TAXINCOME","TOT","PC_GDP","A","2013",12.846,
"BEL","TAXINCOME","TOT","PC_GDP","A","2014",12.884,
"BEL","TAXINCOME","TOT","PC_GDP","A","2015",12.438,
"BEL","TAXINCOME","TOT","PC_GDP","A","2016",11.963,
"BEL","TAXINCOME","TOT","PC_GDP","A","2017",11.914,
"BEL","TAXINCOME","TOT","PC_GDP","A","2018",11.811,
"BEL","TAXINCOME","TOT","PC_GDP","A","2019",11.326,
"BEL","TAXINCOME","TOT","PC_GDP","A","2020",11.916,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1965",20.515,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1966",21.458,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1967",22.48,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1968",23.481,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1969",23.942,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1970",25.068,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1971",25.686,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1972",27.534,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1973",28.362,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1974",30.074,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1975",32.608,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1976",32.214,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1977",34.247,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1978",36.111,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1979",36.402,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1980",36.392,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1981",36.524,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1982",36.66,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1983",36.155,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1984",36.533,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1985",35.635,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1986",34.653,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1987",33.714,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1988",33.174,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1989",31.081,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1990",32.01,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1991",31.319,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1992",31.418,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1993",31.724,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1994",31.675,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1995",32.675,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1996",31.588,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1997",31.788,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1998",31.382,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","1999",30.708,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2000",31.381,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2001",32.065,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2002",31.875,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2003",31.499,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2004",30.965,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2005",29.035,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2006",27.984,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2007",27.778,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2008",28.423,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2009",28.388,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2010",28.228,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2011",28.165,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2012",27.834,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2013",28.525,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2014",28.788,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2015",28.186,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2016",27.618,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2017",27.171,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2018",26.923,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2019",26.525,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2020",27.668,
"CAN","TAXINCOME","TOT","PC_GDP","A","1965",5.648,
"CAN","TAXINCOME","TOT","PC_GDP","A","1966",6.143,
"CAN","TAXINCOME","TOT","PC_GDP","A","1967",6.967,
"CAN","TAXINCOME","TOT","PC_GDP","A","1968",7.565,
"CAN","TAXINCOME","TOT","PC_GDP","A","1969",8.731,
"CAN","TAXINCOME","TOT","PC_GDP","A","1970",9.695,
"CAN","TAXINCOME","TOT","PC_GDP","A","1971",9.742,
"CAN","TAXINCOME","TOT","PC_GDP","A","1972",10.22,
"CAN","TAXINCOME","TOT","PC_GDP","A","1973",9.694,
"CAN","TAXINCOME","TOT","PC_GDP","A","1974",10.526,
"CAN","TAXINCOME","TOT","PC_GDP","A","1975",10.209,
"CAN","TAXINCOME","TOT","PC_GDP","A","1976",10.38,
"CAN","TAXINCOME","TOT","PC_GDP","A","1977",9.738,
"CAN","TAXINCOME","TOT","PC_GDP","A","1978",9.561,
"CAN","TAXINCOME","TOT","PC_GDP","A","1979",9.875,
"CAN","TAXINCOME","TOT","PC_GDP","A","1980",10.341,
"CAN","TAXINCOME","TOT","PC_GDP","A","1981",11.062,
"CAN","TAXINCOME","TOT","PC_GDP","A","1982",11.686,
"CAN","TAXINCOME","TOT","PC_GDP","A","1983",11.124,
"CAN","TAXINCOME","TOT","PC_GDP","A","1984",10.744,
"CAN","TAXINCOME","TOT","PC_GDP","A","1985",11.134,
"CAN","TAXINCOME","TOT","PC_GDP","A","1986",11.932,
"CAN","TAXINCOME","TOT","PC_GDP","A","1987",12.812,
"CAN","TAXINCOME","TOT","PC_GDP","A","1988",12.376,
"CAN","TAXINCOME","TOT","PC_GDP","A","1989",13.172,
"CAN","TAXINCOME","TOT","PC_GDP","A","1990",14.325,
"CAN","TAXINCOME","TOT","PC_GDP","A","1991",14.44,
"CAN","TAXINCOME","TOT","PC_GDP","A","1992",13.743,
"CAN","TAXINCOME","TOT","PC_GDP","A","1993",13.024,
"CAN","TAXINCOME","TOT","PC_GDP","A","1994",12.74,
"CAN","TAXINCOME","TOT","PC_GDP","A","1995",12.999,
"CAN","TAXINCOME","TOT","PC_GDP","A","1996",13.071,
"CAN","TAXINCOME","TOT","PC_GDP","A","1997",13.451,
"CAN","TAXINCOME","TOT","PC_GDP","A","1998",13.423,
"CAN","TAXINCOME","TOT","PC_GDP","A","1999",13.261,
"CAN","TAXINCOME","TOT","PC_GDP","A","2000",12.764,
"CAN","TAXINCOME","TOT","PC_GDP","A","2001",12.75,
"CAN","TAXINCOME","TOT","PC_GDP","A","2002",11.619,
"CAN","TAXINCOME","TOT","PC_GDP","A","2003",11.223,
"CAN","TAXINCOME","TOT","PC_GDP","A","2004",11.329,
"CAN","TAXINCOME","TOT","PC_GDP","A","2005",11.593,
"CAN","TAXINCOME","TOT","PC_GDP","A","2006",11.619,
"CAN","TAXINCOME","TOT","PC_GDP","A","2007",12.045,
"CAN","TAXINCOME","TOT","PC_GDP","A","2008",11.776,
"CAN","TAXINCOME","TOT","PC_GDP","A","2009",11.716,
"CAN","TAXINCOME","TOT","PC_GDP","A","2010",10.858,
"CAN","TAXINCOME","TOT","PC_GDP","A","2011",11.109,
"CAN","TAXINCOME","TOT","PC_GDP","A","2012",11.354,
"CAN","TAXINCOME","TOT","PC_GDP","A","2013",11.253,
"CAN","TAXINCOME","TOT","PC_GDP","A","2014",11.355,
"CAN","TAXINCOME","TOT","PC_GDP","A","2015",12.073,
"CAN","TAXINCOME","TOT","PC_GDP","A","2016",11.905,
"CAN","TAXINCOME","TOT","PC_GDP","A","2017",11.751,
"CAN","TAXINCOME","TOT","PC_GDP","A","2018",11.975,
"CAN","TAXINCOME","TOT","PC_GDP","A","2019",12.177,
